"person_id","birth","birth.lat","birth.long","birth.country","birth.state","res","res.lat","res.long","res.country","res.state"
1361,"Milan, Italy",45.4641943,9.1896346,"Italy",NA,"Milan, Italy",45.4641943,9.1896346,"Italy",NA
1369,"São Paulo, São Paulo, Brazil",-23.5506507,-46.6333824,"Brazil",NA,"São Paulo, São Paulo, Brazil",-23.5506507,-46.6333824,"Brazil",NA
1373,"Portland, Oregon, United States",45.5202471,-122.674194,"United States","Oregon","Pleasanton, California, United States",37.6624312,-121.8746789,"United States","California"
1375,"Seattle, Washington, United States",47.6038321,-122.330062,"United States","Washington","Medina, Washington, United States",47.620548,-122.2264453,"United States","Washington"
1376,"Budapest, Hungary",47.4813896,19.1460941,"Hungary",NA,"Budapest, Hungary",47.4813896,19.1460941,"Hungary",NA
1377,"Bulandshahar, Uttar Pradesh, India",28.5242541,77.5995188,"India",NA,"New Delhi, India",28.6419258,77.2217499,"India",NA
1378,"Steinfurt, Germany",52.138683,7.3678356,"Germany",NA,"Espelkamp, Germany",52.3778041,8.6157377,"Germany",NA
1380,"Aligarh, Uttar Pradesh, India",27.8761073,78.1358153,"India",NA,"New Delhi, India",28.6419258,77.2217499,"India",NA
1382,"Atlanta, Georgia, United States",33.7544657,-84.3898151,"United States","Georgia","Austin, Texas, United States",30.2711286,-97.7436995,"United States","Texas"
1383,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","Beverly Hills, California, United States",34.0696501,-118.3963062,"United States","California"
1384,"Rohtak, Haryana, India",28.9010899,76.5801935,"India",NA,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA
1385,"Dornbirn, Austria",47.4136351,9.7423762,"Austria",NA,"Geneva, Switzerland",46.2017559,6.1466014,"Switzerland",NA
1391,"Nanjing, Jiangsu, China",32.0438284,118.7788631,"China",NA,"Langfang, Hebei, China",39.5302055,116.6926134,"China",NA
1396,"Moscow, Russia",55.625578,37.6063916,"Russia",NA,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA
1397,"Cologne, Germany",50.938361,6.959974,"Germany",NA,"Zurich, Switzerland",47.3744489,8.5410422,"Switzerland",NA
1398,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA,"Monaco, Monaco",43.7323492,7.4276832,"Monaco",NA
1399,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","Liberty, New York, United States",41.8012088,-74.7466262,"United States","New York"
1400,"Tel Aviv, Israel",32.0852997,34.7818064,"Israel",NA,"Bnei Brak, Israel",32.0873899,34.8324376,"Israel",NA
1401,"Los Angeles, California, United States",34.0536909,-118.242766,"United States","California","San Francisco, California, United States",37.7792588,-122.4193286,"United States","California"
1405,"Detroit, Michigan, United States",42.3315509,-83.046640300000007,"United States","Michigan","Franklin, Michigan, United States",42.5222567,-83.3060432,"United States","Michigan"
1406,"Burlington, Ontario, Canada",43.3248924,-79.7966835,"Canada",NA,"Toronto, Ontario, Canada",43.6534817,-79.3839347,"Canada",NA
1407,"Cali, Colombia",3.4108435,-76.5812127,"Colombia",NA,"Panama City, Panama",8.9714493,-79.5341802,"Panama",NA
1408,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA,"Durham, North Carolina, United States",35.996653,-78.9018053,"United States","North Carolina"
1409,"Sanoe-myeon, Jeongeup-si, Jeollabuk-do, South Korea",35.62585,127.05879,"South Korea",NA,"Seoul, South Korea",37.5666791,126.9782914,"South Korea",NA
1410,"Sainte-Livrade-sur-Lot, Lot-et-Garonne, France",44.4033,0.59892,"France",NA,"Pujols, France",44.8082356,-0.0312502,"France",NA
1411,"Milan, Italy",45.4641943,9.1896346,"Italy",NA,"Milan, Italy",45.4641943,9.1896346,"Italy",NA
1412,"St. Petersburg, Russia",59.938732,30.316229,"Russia",NA,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA
1414,"Seattle, Washington, United States",47.6038321,-122.330062,"United States","Washington","Seattle, Washington, United States",47.6038321,-122.330062,"United States","Washington"
1416,"Johannesburg, South Africa",-26.205,28.049722,"South Africa",NA,"Ruschlikon, Switzerland",47.307465,8.5546421,"Switzerland",NA
1419,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Palm Beach, Florida, United States",26.6279798,-80.4494174,"United States","Florida"
1420,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Chicago, Illinois, United States",41.8755616,-87.6244212,"United States","Illinois"
1421,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Beverly Hills, California, United States",34.0696501,-118.3963062,"United States","California"
1422,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Bethesda, Maryland, United States",38.9812726,-77.1233587,"United States","Maryland"
1423,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Rochester, New York, United States",43.157285,-77.615214,"United States","New York"
1424,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Palm Beach, Florida, United States",26.6279798,-80.4494174,"United States","Florida"
1425,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Palm Beach, Florida, United States",26.6279798,-80.4494174,"United States","Florida"
1426,"Vienna, Austria",48.2083537,16.3725042,"Austria",NA,"Velden am Wörther See, Austria",46.6151882,14.0450583,"Austria",NA
1427,"Singapore, Singapore",1.357107,103.8194992,"Singapore",NA,"Kuala Lumpur, Malaysia",3.1526589,101.7022205,"Malaysia",NA
1429,"Jeerota, Rajasthan, India",26.298763,76.6488647,"India",NA,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA
1430,"Saguenay, Québec, Canada",48.405959,-71.069183,"Canada",NA,"Westmount, Ontario, Canada",45.4856917,-73.596562,"Canada",NA
1431,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA
1434,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA
1435,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA
1436,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA
1437,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA
1438,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA,"Kolkata, West Bengal, India",22.5726459,88.3638953,"India",NA
1439,"Hissar, Haryana, India",29.813025,76.4776537,"India",NA,"Mumbai, Maharashtra, India",19.054999,72.8692035,"India",NA
1440,"Vienna, Austria",48.2083537,16.3725042,"Austria",NA,"Vienna, Austria",48.2083537,16.3725042,"Austria",NA
1441,"Freeport, Texas, United States",28.9496782,-95.3461433,"United States","Texas","Fort Worth, Texas, United States",32.753177,-97.3327459,"United States","Texas"
1442,"Singapore, Singapore",1.357107,103.8194992,"Singapore",NA,"Singapore, Singapore",1.357107,103.8194992,"Singapore",NA
1443,"Fuqing, Fujian, China",25.6301525,119.3756376,"China",NA,"Singapore, Singapore",1.357107,103.8194992,"Singapore",NA
1445,"Xiamen, Fujian, China",24.5438732,118.0768065,"China",NA,"Manila, Philippines",14.5904492,120.9803621,"Philippines",NA
1446,"Manila, Philippines",14.5904492,120.9803621,"Philippines",NA,"Manila, Philippines",14.5904492,120.9803621,"Philippines",NA
1448,"Toronto, Ontario, Canada",43.6534817,-79.3839347,"Canada",NA,"North York, Ontario, Canada",43.7543217,-79.4491057,"Canada",NA
1449,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","New York, New York, United States",40.7127281,-74.0060152,"United States","New York"
1453,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","New York, New York, United States",40.7127281,-74.0060152,"United States","New York"
1454,"New Orleans, Louisiana, United States",29.9559145,-90.0730259,"United States","Louisiana","New Orleans, Louisiana, United States",29.9559145,-90.0730259,"United States","Louisiana"
1455,"San Antonio, Texas, United States",29.4246002,-98.4951405,"United States","Texas","San Antonio, Texas, United States",29.4246002,-98.4951405,"United States","Texas"
1456,"Amsterdam, Netherlands",52.3730796,4.8924534,"Netherlands",NA,"Amsterdam, Netherlands",52.3730796,4.8924534,"Netherlands",NA
1457,"Rochester, New York, United States",43.157285,-77.615214,"United States","New York","Naples, Florida, United States",26.1421976,-81.7942944,"United States","Florida"
1458,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","New York, New York, United States",40.7127281,-74.0060152,"United States","New York"
1459,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","New York, New York, United States",40.7127281,-74.0060152,"United States","New York"
1463,"Monterrey, Nuevo León, Mexico",25.6802019,-100.315258,"Mexico",NA,"Monterrey, Nuevo León, Mexico",25.6802019,-100.315258,"Mexico",NA
1467,"Salisbury, North Carolina, United States",35.6709727,-80.4742261,"United States","North Carolina","Cary, North Carolina, United States",35.7882893,-78.7812081,"United States","North Carolina"
1468,"Thiruvanathapuram, Kerala, India",8.4696062,76.9973646,"India",NA,"Bengaluru, Karnataka, India",12.9767936,77.590082,"India",NA
1469,"Moscow, Russia",55.625578,37.6063916,"Russia",NA,"Moscow, Russia",55.625578,37.6063916,"Russia",NA
1472,"Nazareth, Israel",32.7046364,35.2971854,"Israel",NA,"Beverly Hills, California, United States",34.0696501,-118.3963062,"United States","California"
1473,"Nazareth, Israel",32.7046364,35.2971854,"Israel",NA,"Beverly Hills, California, United States",34.0696501,-118.3963062,"United States","California"
1475,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","Rye, New York, United States",40.9821371,-73.6840902,"United States","New York"
1477,"New Taipei City, Taiwan",25.063267,121.45788,"Taiwan",NA,"Taipei, Taiwan",25.0375198,121.5636796,"Taiwan",NA
1480,"Detroit, Michigan, United States",42.3315509,-83.046640300000007,"United States","Michigan","Chicago, Illinois, United States",41.8755616,-87.6244212,"United States","Illinois"
1481,"Salvador, Bahia, Brazil",-12.9822499,-38.4812772,"Brazil",NA,"Salvador, Bahia, Brazil",-12.9822499,-38.4812772,"Brazil",NA
1482,"Vienna, Austria",48.2083537,16.3725042,"Austria",NA,"Vienna, Austria",48.2083537,16.3725042,"Austria",NA
1483,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA,"Gstaad, Switzerland",46.4721619,7.288748,"Switzerland",NA
1484,"Chicago, Illinois, United States",41.8755616,-87.6244212,"United States","Illinois","Skokie, Illinois, United States",42.0262972,-87.7521069,"United States","Illinois"
1485,"New Orleans, Louisiana, United States",29.9559145,-90.0730259,"United States","Louisiana","Baton Rouge, Louisiana, United States",30.4494155,-91.1869659,"United States","Louisiana"
1486,"San Diego, California, United States",32.7174202,-117.162772,"United States","California","Kauai, Hawaii, United States",22.0503838,-159.5588624,"United States","Hawaii"
1487,"East London, South Africa",-33.0191604,27.8998573,"South Africa",NA,"Hamilton, Bermuda",32.2942679,-64.7853167,"Bermuda",NA
1488,"Highland Park, Illinois, United States",42.1836719,-87.7993245,"United States","Illinois","New York, New York, United States",40.7127281,-74.0060152,"United States","New York"
1489,"Boston, Massachusetts, United States",42.3554334,-71.060511,"United States","Massachusetts","London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA
1490,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA
1491,"Croydon, United Kingdom",51.3713049,-0.101957,"United Kingdom",NA,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA
1493,"Emporia, Kansas, United States",38.4040054,-96.181623,"United States","Kansas","Oklahoma City, Oklahoma, United States",35.4729886,-97.5170536,"United States","Oklahoma"
1497,"New York, New York, United States",40.7127281,-74.0060152,"United States","New York","Gladwyne, Pennsylvania, United States",40.0397304,-75.2791788,"United States","Pennsylvania"
1498,"Worcester, Massachusetts, United States",42.2625621,-71.8018877,"United States","Massachusetts","Palm Beach, Florida, United States",26.6279798,-80.4494174,"United States","Florida"
1499,"Farroupilha, Rio Grande do Sul, Brazil",-29.22647,-51.3468188,"Brazil",NA,"Porto Alegre, Rio Grande do Sul, Brazil",-30.0324999,-51.2303767,"Brazil",NA
1500,"Farroupilha, Rio Grande do Sul, Brazil",-29.22647,-51.3468188,"Brazil",NA,"São Paulo, São Paulo, Brazil",-23.5506507,-46.6333824,"Brazil",NA
1501,"Chicago, Illinois, United States",41.8755616,-87.6244212,"United States","Illinois","Chicago, Illinois, United States",41.8755616,-87.6244212,"United States","Illinois"
1502,"Basel, Switzerland",47.5581077,7.5878261,"Switzerland",NA,"Basel, Switzerland",47.5581077,7.5878261,"Switzerland",NA
1503,"Kebraty, Russia",60.3670034,54.2149431,"Russia",NA,"Moscow, Russia",55.625578,37.6063916,"Russia",NA
1504,"Daytona Beach, Florida, United States",29.2108147,-81.0228331,"United States","Florida","Miami, Florida, United States",25.7741728,-80.19362,"United States","Florida"
1505,"Zaporizhzhia, Ukraine",47.8507859,35.1182867,"Ukraine",NA,"Moscow, Russia",55.625578,37.6063916,"Russia",NA
1508,"Basel, Switzerland",47.5581077,7.5878261,"Switzerland",NA,"Liestal, Switzerland",47.4839723,7.7347783,"Switzerland",NA
1509,"Phoenix, Arizona, United States",33.4484367,-112.074141,"United States","Arizona","Laguna Beach, California, United States",33.5426975,-117.785366,"United States","California"
1510,"Middletown, Ohio, United States",39.516644,-84.4041725,"United States","Ohio","Laguna Beach, California, United States",33.5426975,-117.785366,"United States","California"
1511,"Los Angeles, California, United States",34.0536909,-118.242766,"United States","California","Chico, California, United States",39.7284945,-121.8374777,"United States","California"
1514,"Northampton, Massachusetts, United States",42.3178989,-72.6311006,"United States","Massachusetts","Portola Valley, California, United States",37.3736298,-122.219047,"United States","California"
1515,"Bolshevo, Russia",55.9261494,37.8612364,"Russia",NA,"Tula, Tula Oblast, Russia",54.1930321,37.61754,"Russia",NA
1519,"Rhyl, United Kingdom",53.3207425,-3.4907258,"United Kingdom",NA,"Stanton, Isle of Man, United Kingdom",54.12027432,-4.571023524,"United Kingdom",NA
1523,"Arhavi, Artvin, Turkey",41.3520702,41.3093534,"Turkey",NA,"Istanbul, Turkey",41.006381,28.9758715,"Turkey",NA
1524,"Amherst, New York, United States",42.9783924,-78.7997616,"United States","New York","Los Angeles, California, United States",34.0536909,-118.242766,"United States","California"
1525,"Paphos, Cyprus",34.7743988,32.4231586,"Cyprus",NA,"Nicosia, Cyprus",35.1746503,33.3638783,"Cyprus",NA
1526,"Dongyang, Zhejiang, China",29.2924528,120.2372669,"China",NA,"Shanghai, China",31.2323437,121.4691024,"China",NA
1529,"Shen County, Shandong, China",35.9035059,115.4894807,"China",NA,"Beijing, Beijing, China",39.9057136,116.3912972,"China",NA
1530,"Linchuan, Jiangxi, China",27.8735302,116.381776,"China",NA,"Nanchang, Jiangxi, China",28.6472124,116.0348483,"China",NA
1531,"Kunming, Yunnan, China",25.0363006,102.7086139,"China",NA,"Kunming, Yunnan, China",25.0363006,102.7086139,"China",NA
1532,"Guangzhou, Guangdong, China",23.1301964,113.2592945,"China",NA,"Hong Kong, China",22.2793278,114.1628131,"China",NA
1541,"Baku, Azerbaijan",40.3755885,49.8328009,"Azerbaijan",NA,"Istanbul, Turkey",41.006381,28.9758715,"Turkey",NA
1542,"Lobnya, Russia",56.0104473,37.4670831,"Russia",NA,"Moscow, Russia",55.625578,37.6063916,"Russia",NA
1543,"Kamennyi Kliuch, Kemerovo Oblast, Russia",54.1037,86.1422,"Russia",NA,"Beau Vallon, Mahe, Seychelles",-4.609263673,55.43587302,"Seychelles",NA
1544,"Brescia, Brescia, Italy",45.5398022,10.2200214,"Italy",NA,"Brescia, Italy",45.7795805,10.425873,"Italy",NA
1545,"Los Angeles, California, United States",34.0536909,-118.242766,"United States","California","Lexington, Kentucky, United States",38.0464066,-84.4970393,"United States","Kentucky"
1546,"Akmolinsk, Kazakhstan",51.1282205,71.4306682,"Kazakhstan",NA,"Moscow, Russia",55.625578,37.6063916,"Russia",NA
1547,"Moscow, Russia",55.625578,37.6063916,"Russia",NA,"Moscow, Russia",55.625578,37.6063916,"Russia",NA
1548,"Astana, Kazakhstan",51.1159933,71.4677059,"Kazakhstan",NA,"Moscow, Russia",55.625578,37.6063916,"Russia",NA
1549,"La Tuna, Sinaloa, Mexico",26.3883192,-108.1875101,"Mexico",NA,"Sinaloa State, Mexico",25,-107.499998,"Mexico",NA
1558,"Boulogne-Billancourt, Hauts-de-Seine, France",48.8356649,2.240206,"France",NA,"Paris, France",48.8588897,2.320041,"France",NA
1560,"Zurich, Switzerland",47.3744489,8.5410422,"Switzerland",NA,"Zurich, Switzerland",47.3744489,8.5410422,"Switzerland",NA
1562,"Oslo, Norway",59.9133301,10.7389701,"Norway",NA,"Oslo, Norway",59.9133301,10.7389701,"Norway",NA
1563,"Nittedal, Norway",60.0804543,10.8566109,"Norway",NA,"Lucerne, Switzerland",47.0505452,8.3054682,"Switzerland",NA
1564,"Buffalo, New York, United States",42.8867166,-78.8783922,"United States","New York","Erie, Pennsylvania, United States",42.1294712,-80.0852695,"United States","Pennsylvania"
1566,"Solna, Sweden",59.366667,18.016667,"Sweden",NA,"Stockholm, Sweden",59.3251172,18.0710935,"Sweden",NA
1568,"Athens, Greece",37.9755648,23.7348324,"Greece",NA,"Monte Carlo, Monaco",43.7402961,7.426559,"Monaco",NA
1569,"London, United Kingdom",51.4893335,-0.1440551,"United Kingdom",NA,"Monaco, Monaco",43.7323492,7.4276832,"Monaco",NA
